model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Focus,2018,14000,Manual,9083,Petrol,150,57.7,1.0
 Focus,2017,13000,Manual,12456,Petrol,150,57.7,1.0
 Focus,2018,10000,Manual,48141,Petrol,145,61.4,1.0
 Focus,2017,18499,Manual,13063,Petrol,145,41.5,2.0
 Focus,2019,18990,Manual,8400,Petrol,145,60.1,1.0
 Focus,2017,14960,Manual,23554,Petrol,145,41.5,2.0
 Focus,2019,17970,Manual,10985,Diesel,145,74.3,1.5
 Focus,2019,14495,Manual,8131,Petrol,145,58.9,1.0
 Focus,2019,17995,Manual,11496,Diesel,145,57.6,2.0
 Focus,2019,17498,Manual,2714,Petrol,150,49.6,1.0
 Focus,2017,10760,Manual,29891,Petrol,145,60.1,1.0
 Focus,2015,7830,Manual,50124,Diesel,0,74.3,1.5
 Focus,2018,13698,Manual,13418,Petrol,145,58.9,1.0
 Focus,2016,9698,Manual,20786,Petrol,20,61.4,1.0
 Focus,2016,24995,Manual,7997,Petrol,235,36.7,2.3
 Focus,2018,18298,Manual,21456,Diesel,145,67.3,2.0
 Focus,2015,9198,Manual,31512,Diesel,0,74.3,1.5
 Focus,2017,17698,Manual,14557,Petrol,145,41.5,2.0
 Focus,2017,11498,Semi-Auto,30917,Petrol,125,51.4,1.0
 Focus,2017,12798,Manual,22153,Diesel,145,74.3,1.5
 Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5
 Focus,2018,14495,Manual,17030,Petrol,145,57.7,1.0
 Focus,2016,8995,Manual,22493,Petrol,20,60.1,1.0
 Focus,2016,15995,Manual,29600,Diesel,20,67.3,2.0
 Focus,2015,7995,Manual,56655,Diesel,20,67.3,1.6
 Focus,2018,12995,Manual,9781,Petrol,145,60.1,1.0
 Focus,2018,11298,Semi-Auto,37880,Diesel,150,74.3,1.5
 Focus,2018,15995,Manual,10500,Petrol,145,60.1,1.0
 Focus,2016,11495,Manual,29900,Diesel,0,74.3,1.5
 Focus,2015,10995,Manual,13791,Petrol,125,51.4,1.5
 Focus,2018,19995,Manual,10923,Diesel,145,67.3,2.0
 Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5
 Focus,2017,11995,Manual,23469,Petrol,125,51.4,1.5
 Focus,2019,16698,Manual,4542,Petrol,145,60.1,1.0
 Focus,2015,12998,Manual,25878,Diesel,20,67.3,2.0
 Focus,2017,12498,Manual,9338,Petrol,145,60.1,1.0
 Focus,2017,10498,Manual,42002,Petrol,20,60.1,1.0
 Focus,2019,15495,Manual,5600,Petrol,145,60.1,1.0
 Focus,2014,7498,Manual,47566,Petrol,30,56.5,1.0
 Focus,2017,14998,Automatic,17028,Petrol,150,46.3,1.5
 Focus,2016,13998,Manual,24895,Diesel,20,67.3,2.0
 Focus,2017,17998,Manual,9066,Petrol,145,41.5,2.0
 Focus,2017,14998,Manual,32511,Petrol,150,41.5,2.0
 Focus,2017,18498,Manual,14441,Petrol,145,41.5,2.0
 Focus,2018,13998,Manual,13401,Petrol,145,60.1,1.0
 Focus,2017,17998,Manual,19525,Petrol,145,41.5,2.0
 Focus,2018,10998,Manual,26648,Petrol,145,61.4,1.0
 Focus,2016,9998,Manual,26399,Diesel,0,74.3,1.5
 Focus,2016,8498,Manual,51656,Diesel,0,74.3,1.5
 Focus,2018,15798,Manual,4534,Petrol,145,58.9,1.0
 Focus,2016,10298,Manual,15510,Diesel,0,74.3,1.5
 Focus,2017,12498,Semi-Auto,12244,Petrol,125,51.4,1.0
 Focus,2017,10900,Manual,25459,Petrol,145,60.1,1.0
 Focus,2016,10998,Semi-Auto,15006,Petrol,125,51.4,1.0
 Focus,2017,15500,Manual,19593,Petrol,145,41.5,2.0
 Focus,2015,13200,Manual,32000,Diesel,20,67.3,2.0
 Focus,2019,18698,Manual,15365,Petrol,145,60.1,1.0
 Focus,2019,16998,Manual,7924,Diesel,145,80.7,1.5
 Focus,2019,15998,Automatic,11045,Petrol,145,41.5,1.0
 Focus,2017,9998,Manual,22001,Petrol,20,60.1,1.0
 Focus,2017,11298,Manual,24386,Diesel,0,74.3,1.5
 Focus,2015,8498,Manual,47219,Diesel,0,74.3,1.5
 Focus,2018,12998,Manual,16081,Petrol,150,57.7,1.0
 Focus,2019,16998,Manual,10476,Petrol,145,60.1,1.0
 Focus,2017,13998,Semi-Auto,4735,Petrol,125,51.4,1.0
 Focus,2016,8998,Manual,43623,Petrol,20,61.4,1.0
 Focus,2019,16899,Manual,7000,Diesel,145,80.7,1.5
 Focus,2019,18998,Automatic,22246,Diesel,150,64.2,2.0
 Focus,2019,14799,Manual,6249,Petrol,145,60.1,1.0
 Focus,2019,14799,Manual,8560,Petrol,145,60.1,1.0
 Focus,2019,16498,Manual,4930,Petrol,145,60.1,1.0
 Focus,2018,19698,Manual,12011,Petrol,145,41.5,2.0
 Focus,2016,16998,Manual,17589,Petrol,200,41.5,2.0
 Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0
 Focus,2019,14998,Manual,7000,Petrol,145,60.1,1.0
 Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0
 Focus,2018,19698,Manual,16548,Petrol,145,41.5,2.0
 Focus,2017,10498,Manual,49485,Diesel,0,74.3,1.5
 Focus,2017,11498,Manual,9148,Petrol,145,61.4,1.0
 Focus,2017,11998,Manual,7690,Petrol,150,60.1,1.0
 Focus,2019,16998,Manual,20647,Petrol,145,60.1,1.0
 Focus,2015,7994,Manual,64612,Diesel,20,67.3,1.6
 Focus,2020,19998,Manual,4000,Diesel,145,74.3,1.5
 Focus,2020,19489,Manual,5000,Diesel,145,74.3,1.5
 Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0
 Focus,2018,11999,Manual,6691,Petrol,145,61.4,1.0
 Focus,2019,16998,Automatic,8703,Petrol,145,40.9,1.5
 Focus,2017,10998,Manual,28001,Petrol,145,60.1,1.0
 Focus,2019,16998,Manual,19936,Petrol,145,60.1,1.0
 Focus,2017,13398,Automatic,21649,Petrol,145,46.3,1.5
 Focus,2017,17798,Manual,10345,Petrol,145,41.5,2.0
 Focus,2015,13998,Manual,35689,Petrol,205,41.5,2.0
 Focus,2016,9699,Manual,13480,Petrol,20,60.1,1.0
 Focus,2019,15995,Manual,6992,Petrol,145,60.1,1.0
 Focus,2019,14198,Manual,20205,Petrol,150,58.9,1.0
 Focus,2017,16698,Manual,24498,Diesel,145,67.3,2.0
 Focus,2018,17298,Manual,3124,Petrol,145,60.1,1.0
 Focus,2018,11598,Manual,11654,Petrol,145,61.4,1.0
 Focus,2017,17498,Manual,13558,Petrol,200,41.5,2.0
 Focus,2017,16250,Manual,28113,Diesel,145,67.3,2.0
 Focus,2017,10999,Manual,23973,Petrol,150,60.1,1.0
 Focus,2017,11300,Manual,13300,Petrol,145,60.1,1.0
 Focus,2017,10800,Manual,17668,Petrol,145,60.1,1.0
 Focus,2018,18499,Manual,14682,Petrol,145,41.5,2.0
 Focus,2014,6800,Manual,53500,Petrol,30,56.5,1.0
 Focus,2019,15998,Manual,12699,Petrol,145,60.1,1.0
 Focus,2016,8998,Manual,36087,Diesel,0,74.3,1.5
 Focus,2018,18390,Manual,14682,Petrol,145,41.5,2.0
 Focus,2017,10795,Manual,22727,Petrol,20,60.1,1.0
 Focus,2019,18298,Automatic,6269,Diesel,145,74.3,1.5
 Focus,2019,14000,Manual,11426,Petrol,150,58.9,1.0
 Focus,2018,18498,Manual,21167,Diesel,145,67.3,2.0
 Focus,2017,9998,Manual,13861,Petrol,145,60.1,1.0
 Focus,2017,10900,Manual,13338,Diesel,0,74.3,1.5
 Focus,2017,11200,Manual,15121,Petrol,20,58.9,1.0
 Focus,2017,9250,Manual,38541,Petrol,20,60.1,1.0
 Focus,2016,7000,Manual,82616,Diesel,0,74.3,1.5
 Focus,2019,16698,Manual,18697,Petrol,145,60.1,1.0
 Focus,2019,23698,Manual,5003,Diesel,145,70.6,2.0
 Focus,2019,20398,Manual,6233,Diesel,145,74.3,1.5
 Focus,2016,9998,Manual,21243,Petrol,20,60.1,1.0
 Focus,2013,5698,Manual,64292,Diesel,20,67.3,1.6
 Focus,2019,15998,Manual,4500,Diesel,145,80.7,1.5
 Focus,2016,8489,Manual,61379,Diesel,0,74.3,1.5
 Focus,2017,12490,Manual,11292,Petrol,125,51.4,1.5
 Focus,2016,14790,Manual,33352,Petrol,205,41.5,2.0
 Focus,2017,12498,Manual,17998,Diesel,0,74.3,1.5
 Focus,2018,18998,Manual,11578,Diesel,150,67.3,2.0
 Focus,2015,9598,Manual,29577,Diesel,20,67.3,1.6
 Focus,2017,10498,Manual,27704,Diesel,145,74.3,1.5
 Focus,2019,16250,Manual,13325,Diesel,145,74.3,1.5
 Focus,2019,18450,Automatic,14464,Diesel,145,54.3,1.5
 Focus,2018,9950,Manual,19223,Petrol,145,61.4,1.0
 Focus,2016,9998,Manual,3155,Petrol,20,61.4,1.0
 Focus,2019,16998,Manual,14206,Petrol,150,60.1,1.0
 Focus,2017,16998,Automatic,30393,Diesel,145,61.4,2.0
 Focus,2019,14498,Manual,14316,Diesel,150,80.7,1.5
 Focus,2019,17998,Manual,12027,Diesel,145,74.3,1.5
 Focus,2018,13998,Manual,10149,Petrol,145,57.7,1.0
 Focus,2018,11995,Manual,10553,Diesel,145,74.3,1.5
 Focus,2017,18498,Semi-Auto,21183,Diesel,145,61.4,2.0
 Focus,2016,8498,Manual,45256,Petrol,20,60.1,1.0
 Focus,2017,9998,Manual,28761,Petrol,20,60.1,1.0
 Focus,2017,16998,Manual,45854,Petrol,150,41.5,2.0
 Focus,2019,15998,Manual,10386,Petrol,145,49.6,1.0
 Focus,2017,9998,Semi-Auto,32384,Petrol,125,51.4,1.0
 Focus,2019,16250,Manual,11027,Diesel,145,74.3,1.5
 Focus,2017,10898,Manual,14050,Petrol,145,60.1,1.0
 Focus,2019,14998,Manual,12078,Petrol,145,58.9,1.0
 Focus,2015,12298,Manual,51103,Petrol,240,39.2,2.0
 Focus,2017,10498,Manual,39539,Petrol,20,60.1,1.0
 Focus,2016,8998,Manual,49080,Diesel,0,74.3,1.5
 Focus,2018,13498,Manual,10150,Petrol,145,58.9,1.0
 Focus,2016,9690,Manual,46176,Diesel,0,74.3,1.5
 Focus,2017,16498,Manual,18506,Diesel,20,67.3,2.0
 Focus,2017,12998,Manual,17307,Diesel,145,74.3,1.5
 Focus,2017,18998,Manual,10222,Petrol,145,41.5,2.0
 Focus,2019,19300,Manual,2958,Diesel,145,70.6,2.0
 Focus,2017,16890,Manual,23365,Petrol,145,41.5,2.0
 Focus,2016,9420,Manual,34214,Diesel,0,74.3,1.5
 Focus,2019,15390,Manual,5341,Petrol,145,60.1,1.0
 Focus,2019,15370,Manual,6736,Petrol,145,60.1,1.0
 Focus,2015,9230,Manual,27412,Diesel,0,74.3,1.5
 Focus,2017,15591,Manual,45400,Diesel,20,67.3,2.0
 Focus,2017,11998,Manual,28497,Diesel,145,74.3,1.5
 Focus,2015,7498,Manual,36462,Petrol,20,60.1,1.0
 Focus,2016,9498,Manual,18154,Petrol,20,60.1,1.0
 Focus,2015,8998,Manual,32492,Diesel,0,74.3,1.5
 Focus,2018,18998,Manual,16312,Diesel,145,67.3,2.0
 Focus,2015,8298,Manual,56282,Diesel,20,67.3,1.6
 Focus,2019,17498,Automatic,11022,Petrol,145,51.4,1.0
 Focus,2019,17498,Manual,7359,Diesel,145,74.3,1.5
 Focus,2019,16998,Manual,8657,Diesel,145,74.3,1.5
 Focus,2015,8498,Manual,31974,Petrol,20,61.4,1.0
 Focus,2016,8998,Manual,51324,Diesel,0,74.3,1.5
 Focus,2016,14498,Manual,16501,Diesel,20,67.3,2.0
 Focus,2015,9698,Manual,13391,Petrol,20,61.4,1.0
 Focus,2015,9698,Manual,30149,Diesel,0,74.3,1.5
 Focus,2017,12698,Manual,9484,Diesel,0,74.3,1.5
 Focus,2019,19798,Automatic,4797,Diesel,145,64.2,2.0
 Focus,2019,19998,Automatic,2451,Diesel,145,64.2,2.0
 Focus,2019,19998,Automatic,6879,Diesel,145,51.4,2.0
 Focus,2019,18298,Automatic,2840,Diesel,145,74.3,1.5
 Focus,2017,12698,Semi-Auto,14876,Petrol,125,51.4,1.0
 Focus,2018,20998,Manual,5757,Petrol,145,41.5,2.0
 Focus,2016,9998,Manual,27193,Diesel,0,74.3,1.5
 Focus,2017,15998,Manual,16290,Diesel,20,67.3,2.0
 Focus,2016,14498,Manual,32263,Petrol,200,41.5,2.0
 Focus,2019,18998,Automatic,11738,Diesel,145,64.2,2.0
 Focus,2016,12998,Manual,41484,Diesel,20,67.3,2.0
 Focus,2019,16998,Manual,6092,Petrol,145,49.6,1.0
 Focus,2017,18998,Manual,11913,Petrol,145,41.5,2.0
 Focus,2018,19498,Manual,19382,Petrol,145,41.5,2.0
 Focus,2015,9498,Manual,24717,Petrol,20,60.1,1.0
 Focus,2019,16998,Manual,19322,Petrol,150,60.1,1.0
 Focus,2016,12698,Manual,7906,Diesel,0,74.3,1.5
 Focus,2015,9498,Manual,22420,Diesel,0,74.3,1.5
 Focus,2015,9798,Manual,18733,Diesel,0,74.3,1.5
 Focus,2016,16798,Manual,15646,Diesel,20,67.3,2.0
 Focus,2017,10698,Manual,11469,Petrol,20,61.4,1.0
 Focus,2014,5998,Manual,62855,Diesel,20,67.3,1.6
 Focus,2019,16498,Manual,2936,Petrol,145,60.1,1.0
 Focus,2017,10498,Manual,24741,Petrol,20,60.1,1.0
 Focus,2018,15498,Manual,14579,Petrol,145,60.1,1.0
 Focus,2018,11498,Manual,27277,Diesel,145,74.3,1.5
 Focus,2015,7498,Manual,55312,Diesel,20,67.3,1.6
 Focus,2016,7991,Manual,53922,Petrol,20,60.1,1.0
 Focus,2018,11498,Manual,25464,Petrol,145,60.1,1.0
 Focus,2019,16498,Manual,13699,Diesel,145,74.3,1.5
 Focus,2019,14798,Manual,12558,Petrol,145,58.9,1.0
 Focus,2017,10998,Manual,14653,Diesel,0,74.3,1.5
 Focus,2017,11298,Manual,2666,Petrol,20,61.4,1.0
 Focus,2019,15998,Automatic,9694,Diesel,145,64.2,2.0
 Focus,2017,11798,Manual,15417,Diesel,0,74.3,1.5
 Focus,2017,10498,Manual,28732,Petrol,145,61.4,1.0
 Focus,2018,13498,Semi-Auto,12619,Petrol,145,51.4,1.0
 Focus,2017,16798,Manual,18215,Petrol,145,41.5,2.0
 Focus,2017,11998,Manual,8308,Diesel,0,74.3,1.5
 Focus,2017,12698,Manual,13588,Diesel,0,74.3,1.5
 Focus,2019,18998,Automatic,2411,Petrol,150,42.8,1.0
 Focus,2019,17498,Manual,11184,Petrol,145,60.1,1.0
 Focus,2018,20498,Manual,10249,Petrol,145,41.5,2.0
 Focus,2016,9598,Manual,20340,Diesel,0,74.3,1.5
 Focus,2014,8298,Manual,32541,Diesel,20,67.3,1.6
 Focus,2016,10298,Manual,34211,Petrol,20,60.1,1.0
 Focus,2018,13998,Manual,9328,Petrol,145,58.9,1.0
 Focus,2017,11998,Manual,10474,Diesel,0,74.3,1.5
 Focus,2019,25498,Manual,4813,Petrol,145,34.5,2.3
 Focus,2017,17298,Manual,16346,Petrol,145,41.5,2.0
 Focus,2013,6298,Manual,37966,Petrol,30,56.5,1.0
 Focus,2015,6998,Manual,76588,Diesel,0,74.3,1.5
 Focus,2016,10420,Manual,18913,Petrol,20,60.1,1.0
 Focus,2017,17630,Manual,25526,Petrol,145,41.5,2.0
 Focus,2017,11998,Semi-Auto,18978,Diesel,0,74.3,1.5
 Focus,2017,9498,Manual,35850,Petrol,20,61.4,1.0
 Focus,2017,15798,Manual,27532,Diesel,145,67.3,2.0
 Focus,2018,14000,Manual,12090,Petrol,145,58.9,1.0
 Focus,2016,9000,Manual,19130,Petrol,20,61.4,1.0
